PDB	pKd	delta_G_exp	M1_dynamic	M1_static	M2_static	M3_dynamic	M3_static	M4_dynamic	M4_static
1BZF	8.30	-11.32	-28.55	-28.20	-31.07	-33.35	-26.42	-39.50	-49.35
1DDM	5.77	-7.87	7.17	4.53	-1.08	17.44	10.33	-12.80	-25.84
1F40	6.00	-8.18	-10.73	-9.13	-7.52	-7.81	-12.90	-18.68	-19.44
1FHR	4.00	-5.45	-6.30	-8.13	1.35	9.58	20.38	-28.61	-34.06
1IH0	5.00	-6.82	-3.21	-2.18	-1.78	5.97	1.27	-18.35	-12.37
1J5I	3.64	-4.96	8.80	10.09	6.64	5.72	2.01	-8.36	-8.46
1JMQ	4.40	-6.00	0.22	1.17	-0.25	1.55	9.64	-11.92	-14.13
1K9Q	3.15	-4.30	3.63	3.58	5.74	2.89	7.75	-8.67	-4.76
1K9R	3.30	-4.50	7.79	6.56	4.89	17.15	0.57	-4.43	-4.23
1L2Z	3.69	-5.04	-19.35	-17.79	-10.37	-7.48	-13.41	-31.54	-33.36
1LXF	4.10	-5.59	-2.55	-6.91	3.58	3.58	3.58	-19.05	-28.95
1O5P	10.00	-13.64	-13.75	-14.01	-13.30	-9.77	-8.47	-26.16	-30.39
1P7M	4.38	-5.97	3.18	4.52	-11.59	-4.67	-9.26	-19.69	-11.59
1XSC	4.30	-5.87	15.42	11.65	6.59	11.72	22.50	-44.45	-30.85
2JMJ	5.04	-6.87	-11.15	-11.50	-10.96	6.87	9.70	-39.39	-27.71
2JOA	5.96	-8.13	-14.08	-13.87	-11.59	-23.86	-11.64	-26.44	-31.41
2JUP	3.81	-5.19	0.02	2.23	5.09	0.94	1.16	-7.62	-5.56
2NMB	6.28	-8.56	-5.97	-7.55	-10.74	-32.88	-42.44	-32.88	-42.44
2OQS	5.88	-8.01	-19.52	-19.69	-21.61	-26.53	-10.51	-36.49	-43.76
2P0X	6.31	-8.60	-37.36	-34.59	-24.45	-47.61	-24.16	-66.52	-60.51
2RLY	3.57	-4.87	-1.22	2.16	0.94	-5.45	0.76	-9.43	-0.14
2RM0	4.03	-5.49	3.21	4.42	4.53	-1.63	3.36	-2.23	-3.52
